Algoritmo,Abordagem,-10 dB,0 dB,10 dB,20 dB,30 dB
KNN,Sem beamforming,0.547 ± 0.027,0.637 ± 0.026,0.682 ± 0.019,0.74 ± 0.015,0.781 ± 0.011
KNN,Delay Sum,0.547 ± 0.027,0.598 ± 0.025,0.719 ± 0.022,0.844 ± 0.015,0.854 ± 0.015
KNN,GSC,0.517 ± 0.024,0.550 ± 0.026,0.698 ± 0.018,0.838 ± 0.026,0.850 ± 0.014
Perceptron,Sem beamforming,0.569 ± 0.041,0.678 ± 0.031,0.680 ± 0.042,0.724 ± 0.032,0.672 ± 0.052
Perceptron,Delay Sum,0.569 ± 0.041,0.667 ± 0.045,0.609 ± 0.042,0.774 ± 0.032,0.794 ± 0.037
Perceptron,GSC,0.556 ± 0.031,0.631 ± 0.039,0.612 ± 0.036,0.782 ± 0.023,0.799 ± 0.032
SGD,Sem beamforming,0.575 ± 0.025,0.573 ± 0.017,0.619 ± 0.020,0.725 ± 0.028,0.736 ± 0.017
SGD,Delay Sum,0.575 ± 0.025,0.580 ± 0.013,0.647 ± 0.037,0.804 ± 0.019,0.826 ± 0.015
SGD,GSC,0.552 ± 0.014,0.536 ± 0.026,0.632 ± 0.040,0.806 ± 0.017,0.822 ± 0.015
LDA,Sem beamforming,0.515 ± 0.020,0.570 ± 0.019,0.687 ± 0.018,0.74 ± 0.015,0.703 ± 0.014
LDA,Delay Sum,0.515 ± 0.020,0.549 ± 0.037,0.581 ± 0.014,0.748 ± 0.014,0.792 ± 0.016
LDA,GSC,0.503 ± 0.028,0.515 ± 0.028,0.566 ± 0.017,0.752 ± 0.014,0.8 ± 0.015
SVM,Sem beamforming,0.487 ± 0.027,0.617 ± 0.045,0.721 ± 0.017,0.786 ± 0.012,0.791 ± 0.010
SVM,Delay Sum,0.487 ± 0.027,0.613 ± 0.054,0.703 ± 0.018,0.837 ± 0.016,0.840 ± 0.011
SVM,GSC,0.435 ± 0.024,0.561 ± 0.045,0.68 ± 0.018,0.822 ± 0.014,0.841 ± 0.010
